GEOID,Location,POP,Total_Households,Median_HH_Income,Low_Income_HH,Low_Income_Rate,HH_SNAP,SNAP_Rate,Public_Assistance_HH,Public_Assistance_Rate,Children_0_17,Children_0_4,Children_5_17,Child_Dependency_Rate,Elderly_65_Plus,Elderly_65_74,Elderly_75_Plus,Elderly_Dependency_Rate,Total_Dependency_Rate,HH_With_Children,HH_With_Children_Rate,Single_Parent_HH,Single_Parent_Rate,Renter_Occupied,Renter_Rate,Vacant_Housing_Units,Vacancy_Rate,Built_Before_1940,Old_Housing_Rate,Total_Workers,Workers_No_Car,No_Car_Rate,HH_No_Internet,No_Internet_Rate
291892103003,"Block Group, St. Louis County, Missouri",1553,621,59637,60,9.7,40,6.5,12,2.0,279,69,209,18.0,264,155,108,17.0,35.0,173,28.0,49,8.0,192,31.0,49,8.0,0,0.0,621,49,8.0,24,4.0
291892103004,"Block Group, St. Louis County, Missouri",1214,485,88796,47,9.7,31,6.5,9,2.0,218,54,163,18.0,206,121,84,17.0,35.0,135,28.0,38,8.0,150,31.0,38,8.0,0,0.0,485,38,8.0,19,4.0
291892104001,"Block Group, St. Louis County, Missouri",1691,676,77831,65,9.7,43,6.5,13,2.0,304,76,228,18.0,287,169,118,17.0,35.0,189,28.0,54,8.0,209,31.0,54,8.0,0,0.0,676,54,8.0,27,4.0
291892104002,"Block Group, St. Louis County, Missouri",1491,596,85164,57,9.7,38,6.5,11,2.0,268,67,201,18.0,253,149,104,17.0,35.0,166,28.0,47,8.0,184,31.0,47,8.0,0,0.0,596,47,8.0,23,4.0
291892104003,"Block Group, St. Louis County, Missouri",1654,661,64742,64,9.7,42,6.5,13,2.0,297,74,223,18.0,281,165,115,17.0,35.0,185,28.0,52,8.0,204,31.0,52,8.0,0,0.0,661,52,8.0,26,4.0
291892104004,"Block Group, St. Louis County, Missouri",1568,627,58723,60,9.7,40,6.5,12,2.0,282,70,211,18.0,266,156,109,17.0,35.0,175,28.0,50,8.0,194,31.0,50,8.0,0,0.0,627,50,8.0,25,4.0
291892104005,"Block Group, St. Louis County, Missouri",286,114,72337,11,9.7,7,6.5,2,2.0,51,12,38,18.0,48,28,20,17.0,35.0,31,28.0,9,8.0,35,31.0,9,8.0,0,0.0,114,9,8.0,4,4.0
291892105011,"Block Group, St. Louis County, Missouri",971,388,94581,37,9.7,25,6.5,7,2.0,174,43,131,18.0,165,97,67,17.0,35.0,108,28.0,31,8.0,120,31.0,31,8.0,0,0.0,388,31,8.0,15,4.0
291892105012,"Block Group, St. Louis County, Missouri",1607,642,63154,62,9.7,41,6.5,12,2.0,289,72,216,18.0,273,160,112,17.0,35.0,179,28.0,51,8.0,199,31.0,51,8.0,0,0.0,642,51,8.0,25,4.0
291892105021,"Block Group, St. Louis County, Missouri",1680,672,66407,65,9.7,43,6.5,13,2.0,302,75,226,18.0,285,168,117,17.0,35.0,188,28.0,53,8.0,208,31.0,53,8.0,0,0.0,672,53,8.0,26,4.0
291892105022,"Block Group, St. Louis County, Missouri",1305,522,77032,50,9.7,33,6.5,10,2.0,234,58,176,18.0,221,130,91,17.0,35.0,146,28.0,41,8.0,161,31.0,41,8.0,0,0.0,522,41,8.0,20,4.0
291892105023,"Block Group, St. Louis County, Missouri",1385,554,93720,53,9.7,36,6.5,11,2.0,249,62,186,18.0,235,138,96,17.0,35.0,155,28.0,44,8.0,171,31.0,44,8.0,0,0.0,554,44,8.0,22,4.0
291892105024,"Block Group, St. Louis County, Missouri",1596,638,86689,61,9.7,41,6.5,12,2.0,287,71,215,18.0,271,159,111,17.0,35.0,178,28.0,51,8.0,197,31.0,51,8.0,0,0.0,638,51,8.0,25,4.0
291892105025,"Block Group, St. Louis County, Missouri",1601,640,88618,62,9.7,41,6.5,12,2.0,288,72,216,18.0,272,160,112,17.0,35.0,179,28.0,51,8.0,198,31.0,51,8.0,0,0.0,640,51,8.0,25,4.0
291892106001,"Block Group, St. Louis County, Missouri",1087,434,70680,42,9.7,28,6.5,8,2.0,195,48,146,18.0,184,108,76,17.0,35.0,121,28.0,34,8.0,134,31.0,34,8.0,0,0.0,434,34,8.0,17,4.0
291892106002,"Block Group, St. Louis County, Missouri",1151,460,88930,44,9.7,29,6.5,9,2.0,207,51,155,18.0,195,115,80,17.0,35.0,128,28.0,36,8.0,142,31.0,36,8.0,0,0.0,460,36,8.0,18,4.0
291892106003,"Block Group, St. Louis County, Missouri",1239,495,116477,48,9.7,32,6.5,9,2.0,223,55,167,18.0,210,123,86,17.0,35.0,138,28.0,39,8.0,153,31.0,39,8.0,0,0.0,495,39,8.0,19,4.0
291892106004,"Block Group, St. Louis County, Missouri",1010,404,64957,39,9.7,26,6.5,8,2.0,181,45,136,18.0,171,101,70,17.0,35.0,113,28.0,32,8.0,125,31.0,32,8.0,0,0.0,404,32,8.0,16,4.0
291892106005,"Block Group, St. Louis County, Missouri",1648,659,102768,63,9.7,42,6.5,13,2.0,296,74,222,18.0,280,164,115,17.0,35.0,184,28.0,52,8.0,204,31.0,52,8.0,0,0.0,659,52,8.0,26,4.0
291892107021,"Block Group, St. Louis County, Missouri",1543,617,93978,59,9.7,40,6.5,12,2.0,277,69,208,18.0,262,154,108,17.0,35.0,172,28.0,49,8.0,191,31.0,49,8.0,0,0.0,617,49,8.0,24,4.0
291892107022,"Block Group, St. Louis County, Missouri",1913,765,80030,74,9.7,49,6.5,15,2.0,344,86,258,18.0,325,191,133,17.0,35.0,214,28.0,61,8.0,237,31.0,61,8.0,0,0.0,765,61,8.0,30,4.0
291892107023,"Block Group, St. Louis County, Missouri",767,306,73459,29,9.7,19,6.5,6,2.0,138,34,103,18.0,130,76,53,17.0,35.0,85,28.0,24,8.0,94,31.0,24,8.0,0,0.0,306,24,8.0,12,4.0
291892107024,"Block Group, St. Louis County, Missouri",1723,689,59785,66,9.7,44,6.5,13,2.0,310,77,232,18.0,292,172,120,17.0,35.0,192,28.0,55,8.0,213,31.0,55,8.0,0,0.0,689,55,8.0,27,4.0
291892107031,"Block Group, St. Louis County, Missouri",1353,541,85239,52,9.7,35,6.5,10,2.0,243,60,182,18.0,230,135,94,17.0,35.0,151,28.0,43,8.0,167,31.0,43,8.0,0,0.0,541,43,8.0,21,4.0
291892107032,"Block Group, St. Louis County, Missouri",1213,485,92295,47,9.7,31,6.5,9,2.0,218,54,163,18.0,206,121,84,17.0,35.0,135,28.0,38,8.0,150,31.0,38,8.0,0,0.0,485,38,8.0,19,4.0
291892107033,"Block Group, St. Louis County, Missouri",1573,629,116262,61,9.7,40,6.5,12,2.0,283,70,212,18.0,267,157,110,17.0,35.0,176,28.0,50,8.0,194,31.0,50,8.0,0,0.0,629,50,8.0,25,4.0
291892107041,"Block Group, St. Louis County, Missouri",1589,635,72299,61,9.7,41,6.5,12,2.0,286,71,214,18.0,270,158,111,17.0,35.0,177,28.0,50,8.0,196,31.0,50,8.0,0,0.0,635,50,8.0,25,4.0
291892107042,"Block Group, St. Louis County, Missouri",1114,445,68967,43,9.7,28,6.5,8,2.0,200,50,150,18.0,189,111,77,17.0,35.0,124,28.0,35,8.0,137,31.0,35,8.0,0,0.0,445,35,8.0,17,4.0
291892107043,"Block Group, St. Louis County, Missouri",1722,688,72938,66,9.7,44,6.5,13,2.0,309,77,232,18.0,292,172,120,17.0,35.0,192,28.0,55,8.0,213,31.0,55,8.0,0,0.0,688,55,8.0,27,4.0
291892108031,"Block Group, St. Louis County, Missouri",1311,524,92680,50,9.7,34,6.5,10,2.0,235,58,176,18.0,222,131,91,17.0,35.0,146,28.0,41,8.0,162,31.0,41,8.0,0,0.0,524,41,8.0,20,4.0
291892108032,"Block Group, St. Louis County, Missouri",1049,419,77036,40,9.7,27,6.5,8,2.0,188,47,141,18.0,178,104,73,17.0,35.0,117,28.0,33,8.0,129,31.0,33,8.0,0,0.0,419,33,8.0,16,4.0
291892108033,"Block Group, St. Louis County, Missouri",599,239,65203,23,9.7,15,6.5,4,2.0,107,26,80,18.0,101,59,41,17.0,35.0,66,28.0,19,8.0,74,31.0,19,8.0,0,0.0,239,19,8.0,9,4.0
291892108051,"Block Group, St. Louis County, Missouri",1111,444,87677,43,9.7,28,6.5,8,2.0,199,49,149,18.0,188,111,77,17.0,35.0,124,28.0,35,8.0,137,31.0,35,8.0,0,0.0,444,35,8.0,17,4.0
291892108052,"Block Group, St. Louis County, Missouri",1819,727,81163,70,9.7,47,6.5,14,2.0,327,81,245,18.0,309,181,127,17.0,35.0,203,28.0,58,8.0,225,31.0,58,8.0,0,0.0,727,58,8.0,29,4.0
291892108053,"Block Group, St. Louis County, Missouri",1445,578,83960,56,9.7,37,6.5,11,2.0,260,65,195,18.0,245,144,101,17.0,35.0,161,28.0,46,8.0,179,31.0,46,8.0,0,0.0,578,46,8.0,23,4.0
291892108054,"Block Group, St. Louis County, Missouri",1776,710,94841,68,9.7,46,6.5,14,2.0,319,79,239,18.0,301,177,124,17.0,35.0,198,28.0,56,8.0,220,31.0,56,8.0,0,0.0,710,56,8.0,28,4.0
291892108061,"Block Group, St. Louis County, Missouri",1450,580,66276,56,9.7,37,6.5,11,2.0,261,65,195,18.0,246,145,101,17.0,35.0,162,28.0,46,8.0,179,31.0,46,8.0,0,0.0,580,46,8.0,23,4.0
291892108062,"Block Group, St. Louis County, Missouri",1703,681,87156,66,9.7,44,6.5,13,2.0,306,76,229,18.0,289,170,119,17.0,35.0,190,28.0,54,8.0,211,31.0,54,8.0,0,0.0,681,54,8.0,27,4.0
291892108063,"Block Group, St. Louis County, Missouri",1833,733,80992,71,9.7,47,6.5,14,2.0,329,82,247,18.0,311,183,128,17.0,35.0,205,28.0,58,8.0,227,31.0,58,8.0,0,0.0,733,58,8.0,29,4.0
291892108064,"Block Group, St. Louis County, Missouri",2125,850,76057,82,9.7,55,6.5,17,2.0,382,95,286,18.0,361,212,148,17.0,35.0,238,28.0,68,8.0,263,31.0,68,8.0,0,0.0,850,68,8.0,34,4.0
291892108071,"Block Group, St. Louis County, Missouri",1980,792,83167,76,9.7,51,6.5,15,2.0,356,89,267,18.0,336,198,138,17.0,35.0,221,28.0,63,8.0,245,31.0,63,8.0,0,0.0,792,63,8.0,31,4.0
291892108072,"Block Group, St. Louis County, Missouri",1132,452,64514,43,9.7,29,6.5,9,2.0,203,50,152,18.0,192,113,79,17.0,35.0,126,28.0,36,8.0,140,31.0,36,8.0,0,0.0,452,36,8.0,18,4.0
291892108073,"Block Group, St. Louis County, Missouri",1279,511,102790,49,9.7,33,6.5,10,2.0,230,57,172,18.0,217,127,89,17.0,35.0,143,28.0,40,8.0,158,31.0,40,8.0,0,0.0,511,40,8.0,20,4.0
291892108081,"Block Group, St. Louis County, Missouri",1668,667,91774,64,9.7,43,6.5,13,2.0,300,75,225,18.0,283,166,116,17.0,35.0,186,28.0,53,8.0,206,31.0,53,8.0,0,0.0,667,53,8.0,26,4.0
291892108082,"Block Group, St. Louis County, Missouri",384,153,92105,14,9.7,9,6.5,3,2.0,69,17,51,18.0,65,38,26,17.0,35.0,42,28.0,12,8.0,47,31.0,12,8.0,0,0.0,153,12,8.0,6,4.0
291892109121,"Block Group, St. Louis County, Missouri",1563,625,73192,60,9.7,40,6.5,12,2.0,281,70,211,18.0,265,156,109,17.0,35.0,175,28.0,50,8.0,193,31.0,50,8.0,0,0.0,625,50,8.0,25,4.0
291892109122,"Block Group, St. Louis County, Missouri",1087,434,81406,42,9.7,28,6.5,8,2.0,195,48,146,18.0,184,108,76,17.0,35.0,121,28.0,34,8.0,134,31.0,34,8.0,0,0.0,434,34,8.0,17,4.0
291892109123,"Block Group, St. Louis County, Missouri",2033,813,65614,78,9.7,52,6.5,16,2.0,365,91,274,18.0,345,203,142,17.0,35.0,227,28.0,65,8.0,252,31.0,65,8.0,0,0.0,813,65,8.0,32,4.0
291892109124,"Block Group, St. Louis County, Missouri",1168,467,101867,45,9.7,30,6.5,9,2.0,210,52,157,18.0,198,116,81,17.0,35.0,130,28.0,37,8.0,144,31.0,37,8.0,0,0.0,467,37,8.0,18,4.0
291892109211,"Block Group, St. Louis County, Missouri",1160,464,75977,45,9.7,30,6.5,9,2.0,208,52,156,18.0,197,116,81,17.0,35.0,129,28.0,37,8.0,143,31.0,37,8.0,0,0.0,464,37,8.0,18,4.0
291892109212,"Block Group, St. Louis County, Missouri",1379,551,62821,53,9.7,35,6.5,11,2.0,248,62,186,18.0,234,137,96,17.0,35.0,154,28.0,44,8.0,170,31.0,44,8.0,0,0.0,551,44,8.0,22,4.0
291892109231,"Block Group, St. Louis County, Missouri",1428,571,63296,55,9.7,37,6.5,11,2.0,257,64,192,18.0,242,142,99,17.0,35.0,159,28.0,45,8.0,177,31.0,45,8.0,0,0.0,571,45,8.0,22,4.0
291892109232,"Block Group, St. Louis County, Missouri",1695,678,81488,65,9.7,44,6.5,13,2.0,305,76,228,18.0,288,169,118,17.0,35.0,189,28.0,54,8.0,210,31.0,54,8.0,0,0.0,678,54,8.0,27,4.0
291892109233,"Block Group, St. Louis County, Missouri",2257,902,85653,87,9.7,58,6.5,18,2.0,406,101,304,18.0,383,225,157,17.0,35.0,252,28.0,72,8.0,279,31.0,72,8.0,0,0.0,902,72,8.0,36,4.0
291892109241,"Block Group, St. Louis County, Missouri",1889,755,61892,73,9.7,49,6.5,15,2.0,340,85,255,18.0,321,188,132,17.0,35.0,211,28.0,60,8.0,234,31.0,60,8.0,0,0.0,755,60,8.0,30,4.0
291892109242,"Block Group, St. Louis County, Missouri",1290,516,86288,50,9.7,33,6.5,10,2.0,232,58,174,18.0,219,129,90,17.0,35.0,144,28.0,41,8.0,159,31.0,41,8.0,0,0.0,516,41,8.0,20,4.0
291892109243,"Block Group, St. Louis County, Missouri",2041,816,56227,79,9.7,53,6.5,16,2.0,367,91,275,18.0,346,204,142,17.0,35.0,228,28.0,65,8.0,252,31.0,65,8.0,0,0.0,816,65,8.0,32,4.0
291892109251,"Block Group, St. Louis County, Missouri",1738,695,90311,67,9.7,45,6.5,13,2.0,312,78,234,18.0,295,173,121,17.0,35.0,194,28.0,55,8.0,215,31.0,55,8.0,0,0.0,695,55,8.0,27,4.0
291892109252,"Block Group, St. Louis County, Missouri",1956,782,92126,75,9.7,50,6.5,15,2.0,352,88,264,18.0,332,195,136,17.0,35.0,218,28.0,62,8.0,242,31.0,62,8.0,0,0.0,782,62,8.0,31,4.0
291892109253,"Block Group, St. Louis County, Missouri",1360,544,73616,52,9.7,35,6.5,10,2.0,244,61,183,18.0,231,136,95,17.0,35.0,152,28.0,43,8.0,168,31.0,43,8.0,0,0.0,544,43,8.0,21,4.0
291892109261,"Block Group, St. Louis County, Missouri",838,335,84372,32,9.7,21,6.5,6,2.0,150,37,113,18.0,142,83,58,17.0,35.0,93,28.0,26,8.0,103,31.0,26,8.0,0,0.0,335,26,8.0,13,4.0
291892109262,"Block Group, St. Louis County, Missouri",1262,504,111745,48,9.7,32,6.5,10,2.0,227,56,170,18.0,214,126,88,17.0,35.0,141,28.0,40,8.0,156,31.0,40,8.0,0,0.0,504,40,8.0,20,4.0
291892109271,"Block Group, St. Louis County, Missouri",1094,437,86246,42,9.7,28,6.5,8,2.0,196,49,147,18.0,185,109,76,17.0,35.0,122,28.0,34,8.0,135,31.0,34,8.0,0,0.0,437,35,8.0,17,4.0
291892109272,"Block Group, St. Louis County, Missouri",709,283,75509,27,9.7,18,6.5,5,2.0,127,31,95,18.0,120,70,49,17.0,35.0,79,28.0,22,8.0,87,31.0,22,8.0,0,0.0,283,22,8.0,11,4.0
291892109281,"Block Group, St. Louis County, Missouri",1444,577,93800,55,9.7,37,6.5,11,2.0,259,64,194,18.0,245,144,101,17.0,35.0,161,28.0,46,8.0,178,31.0,46,8.0,0,0.0,577,46,8.0,23,4.0
291892109282,"Block Group, St. Louis County, Missouri",1922,768,80778,74,9.7,49,6.5,15,2.0,345,86,259,18.0,326,192,134,17.0,35.0,215,28.0,61,8.0,238,31.0,61,8.0,0,0.0,768,61,8.0,30,4.0
291892109283,"Block Group, St. Louis County, Missouri",890,356,88308,34,9.7,23,6.5,7,2.0,160,40,120,18.0,151,89,62,17.0,35.0,99,28.0,28,8.0,110,31.0,28,8.0,0,0.0,356,28,8.0,14,4.0
291892110011,"Block Group, St. Louis County, Missouri",1547,618,88815,59,9.7,40,6.5,12,2.0,278,69,208,18.0,262,154,108,17.0,35.0,173,28.0,49,8.0,191,31.0,49,8.0,0,0.0,618,49,8.0,24,4.0
291892110012,"Block Group, St. Louis County, Missouri",1058,423,98441,41,9.7,27,6.5,8,2.0,190,47,142,18.0,179,105,74,17.0,35.0,118,28.0,33,8.0,131,31.0,33,8.0,0,0.0,423,33,8.0,16,4.0
291892110013,"Block Group, St. Louis County, Missouri",1375,550,91938,53,9.7,35,6.5,11,2.0,247,61,185,18.0,233,137,96,17.0,35.0,154,28.0,44,8.0,170,31.0,44,8.0,0,0.0,550,44,8.0,22,4.0
291892110021,"Block Group, St. Louis County, Missouri",1852,740,90580,71,9.7,48,6.5,14,2.0,333,83,250,18.0,314,185,129,17.0,35.0,207,28.0,59,8.0,229,31.0,59,8.0,0,0.0,740,59,8.0,29,4.0
291892110022,"Block Group, St. Louis County, Missouri",1455,582,113732,56,9.7,37,6.5,11,2.0,261,65,196,18.0,247,145,101,17.0,35.0,162,28.0,46,8.0,180,31.0,46,8.0,0,0.0,582,46,8.0,23,4.0
291892111011,"Block Group, St. Louis County, Missouri",1437,574,77001,55,9.7,37,6.5,11,2.0,258,64,193,18.0,244,143,100,17.0,35.0,160,28.0,45,8.0,177,31.0,45,8.0,0,0.0,574,45,8.0,22,4.0
291892111012,"Block Group, St. Louis County, Missouri",1385,554,103682,53,9.7,36,6.5,11,2.0,249,62,186,18.0,235,138,96,17.0,35.0,155,28.0,44,8.0,171,31.0,44,8.0,0,0.0,554,44,8.0,22,4.0
291892111013,"Block Group, St. Louis County, Missouri",1387,554,89231,53,9.7,36,6.5,11,2.0,249,62,187,18.0,235,138,97,17.0,35.0,155,28.0,44,8.0,171,31.0,44,8.0,0,0.0,554,44,8.0,22,4.0
291892111014,"Block Group, St. Louis County, Missouri",1820,728,73748,70,9.7,47,6.5,14,2.0,327,81,245,18.0,309,182,127,17.0,35.0,203,28.0,58,8.0,225,31.0,58,8.0,0,0.0,728,58,8.0,29,4.0
291892111015,"Block Group, St. Louis County, Missouri",645,258,85932,25,9.7,16,6.5,5,2.0,116,29,87,18.0,109,64,45,17.0,35.0,72,28.0,20,8.0,79,31.0,20,8.0,0,0.0,258,20,8.0,10,4.0
291892111021,"Block Group, St. Louis County, Missouri",1432,572,72320,55,9.7,37,6.5,11,2.0,257,64,193,18.0,243,143,100,17.0,35.0,160,28.0,45,8.0,177,31.0,45,8.0,0,0.0,572,45,8.0,22,4.0
291892111022,"Block Group, St. Louis County, Missouri",1690,676,90554,65,9.7,43,6.5,13,2.0,304,76,228,18.0,287,169,118,17.0,35.0,189,28.0,54,8.0,209,31.0,54,8.0,0,0.0,676,54,8.0,27,4.0
291892111023,"Block Group, St. Louis County, Missouri",940,376,89214,36,9.7,24,6.5,7,2.0,169,42,126,18.0,159,94,65,17.0,35.0,105,28.0,30,8.0,116,31.0,30,8.0,0,0.0,376,30,8.0,15,4.0
291892111024,"Block Group, St. Louis County, Missouri",1261,504,59195,48,9.7,32,6.5,10,2.0,226,56,170,18.0,214,126,88,17.0,35.0,141,28.0,40,8.0,156,31.0,40,8.0,0,0.0,504,40,8.0,20,4.0
291892112011,"Block Group, St. Louis County, Missouri",1522,608,80762,58,9.7,39,6.5,12,2.0,273,68,205,18.0,258,152,106,17.0,35.0,170,28.0,48,8.0,188,31.0,48,8.0,0,0.0,608,48,8.0,24,4.0
291892112012,"Block Group, St. Louis County, Missouri",1040,416,89285,40,9.7,27,6.5,8,2.0,187,46,140,18.0,176,104,72,17.0,35.0,116,28.0,33,8.0,128,31.0,33,8.0,0,0.0,416,33,8.0,16,4.0
291892112013,"Block Group, St. Louis County, Missouri",1536,614,72777,59,9.7,39,6.5,12,2.0,276,69,207,18.0,261,153,107,17.0,35.0,171,28.0,49,8.0,190,31.0,49,8.0,0,0.0,614,49,8.0,24,4.0
291892112014,"Block Group, St. Louis County, Missouri",1500,600,96666,58,9.7,39,6.5,12,2.0,270,67,202,18.0,255,150,105,17.0,35.0,168,28.0,48,8.0,186,31.0,48,8.0,0,0.0,600,48,8.0,24,4.0
291892112021,"Block Group, St. Louis County, Missouri",1053,421,87154,40,9.7,27,6.5,8,2.0,189,47,142,18.0,179,105,73,17.0,35.0,117,28.0,33,8.0,130,31.0,33,8.0,0,0.0,421,33,8.0,16,4.0
291892112022,"Block Group, St. Louis County, Missouri",1341,536,115431,51,9.7,34,6.5,10,2.0,241,60,181,18.0,227,134,93,17.0,35.0,150,28.0,42,8.0,166,31.0,42,8.0,0,0.0,536,42,8.0,21,4.0
291892113011,"Block Group, St. Louis County, Missouri",591,236,91870,22,9.7,15,6.5,4,2.0,106,26,79,18.0,100,59,41,17.0,35.0,66,28.0,18,8.0,73,31.0,18,8.0,0,0.0,236,18,8.0,9,4.0
291892113012,"Block Group, St. Louis County, Missouri",1216,486,79938,47,9.7,31,6.5,9,2.0,218,54,164,18.0,206,121,85,17.0,35.0,136,28.0,38,8.0,150,31.0,38,8.0,0,0.0,486,38,8.0,19,4.0
291892113013,"Block Group, St. Louis County, Missouri",2104,841,81312,81,9.7,54,6.5,16,2.0,378,94,284,18.0,357,210,147,17.0,35.0,235,28.0,67,8.0,260,31.0,67,8.0,0,0.0,841,67,8.0,33,4.0
291892113311,"Block Group, St. Louis County, Missouri",2240,896,74808,86,9.7,58,6.5,17,2.0,403,100,302,18.0,380,224,156,17.0,35.0,250,28.0,71,8.0,277,31.0,71,8.0,0,0.0,896,71,8.0,35,4.0
291892113312,"Block Group, St. Louis County, Missouri",1480,592,74078,57,9.7,38,6.5,11,2.0,266,66,199,18.0,251,148,103,17.0,35.0,165,28.0,47,8.0,183,31.0,47,8.0,0,0.0,592,47,8.0,23,4.0
291892113313,"Block Group, St. Louis County, Missouri",1062,424,82378,41,9.7,27,6.5,8,2.0,191,47,143,18.0,180,106,74,17.0,35.0,118,28.0,33,8.0,131,31.0,33,8.0,0,0.0,424,33,8.0,16,4.0
291892113314,"Block Group, St. Louis County, Missouri",1226,490,84478,47,9.7,31,6.5,9,2.0,220,55,165,18.0,208,122,85,17.0,35.0,137,28.0,39,8.0,151,31.0,39,8.0,0,0.0,490,39,8.0,19,4.0
291892113315,"Block Group, St. Louis County, Missouri",493,197,111478,19,9.7,12,6.5,3,2.0,88,22,66,18.0,83,49,34,17.0,35.0,55,28.0,15,8.0,61,31.0,15,8.0,0,0.0,197,15,8.0,7,4.0
291892113321,"Block Group, St. Louis County, Missouri",1272,508,107584,49,9.7,33,6.5,10,2.0,228,57,171,18.0,216,127,89,17.0,35.0,142,28.0,40,8.0,157,31.0,40,8.0,0,0.0,508,40,8.0,20,4.0
291892113322,"Block Group, St. Louis County, Missouri",935,374,85829,36,9.7,24,6.5,7,2.0,168,42,126,18.0,158,93,65,17.0,35.0,104,28.0,29,8.0,115,31.0,29,8.0,0,0.0,374,29,8.0,14,4.0
291892113323,"Block Group, St. Louis County, Missouri",2612,1044,68395,101,9.7,67,6.5,20,2.0,470,117,352,18.0,444,261,182,17.0,35.0,292,28.0,83,8.0,323,31.0,83,8.0,0,0.0,1044,83,8.0,41,4.0
291892113324,"Block Group, St. Louis County, Missouri",738,295,73243,28,9.7,19,6.5,5,2.0,132,33,99,18.0,125,73,51,17.0,35.0,82,28.0,23,8.0,91,31.0,23,8.0,0,0.0,295,23,8.0,11,4.0
291892113331,"Block Group, St. Louis County, Missouri",1529,611,91841,59,9.7,39,6.5,12,2.0,275,68,206,18.0,259,152,107,17.0,35.0,171,28.0,48,8.0,189,31.0,48,8.0,0,0.0,611,48,8.0,24,4.0
291892113332,"Block Group, St. Louis County, Missouri",1858,743,77585,72,9.7,48,6.5,14,2.0,334,83,250,18.0,315,185,130,17.0,35.0,208,28.0,59,8.0,230,31.0,59,8.0,0,0.0,743,59,8.0,29,4.0
291892113333,"Block Group, St. Louis County, Missouri",695,278,74915,26,9.7,18,6.5,5,2.0,125,31,93,18.0,118,69,48,17.0,35.0,77,28.0,22,8.0,86,31.0,22,8.0,0,0.0,278,22,8.0,11,4.0
291892113341,"Block Group, St. Louis County, Missouri",1838,735,88425,71,9.7,47,6.5,14,2.0,330,82,248,18.0,312,183,128,17.0,35.0,205,28.0,58,8.0,227,31.0,58,8.0,0,0.0,735,58,8.0,29,4.0
291892113342,"Block Group, St. Louis County, Missouri",553,221,80915,21,9.7,14,6.5,4,2.0,99,24,74,18.0,94,55,38,17.0,35.0,61,28.0,17,8.0,68,31.0,17,8.0,0,0.0,221,17,8.0,8,4.0
